city_name,LGA_name,
Melbourne,Melbourne,
Officer,Cardinia,
Bendigo,Greater Bendigo,
Pakenham,Cardinia,
Metung,East Gippsland,
Beechworth,Indigo,
Nhill,Hindmarsh,
Geelong,Greater Geelong,
Seymour,Mitchell,
Lara,Greater Geelong,
Warrnambool,Warrnambool,
Red Hill South,Mornington Peninsula,
Echuca,Campaspe,
Bacchus Marsh,Moorabool,
Aireys Inlet - Fairhaven,Surf Coast,
Foster,South Gippsland,
Mildura,Rural Mildura,
Merbein,Rural Mildura,
Yarrawonga,Moira,
Cobram,Moira,
Rutherglen,Indigo,
Sale,Wellington,
Torquay - Jan Juc,Surf Coast,
Cape Schanck,Mornington Peninsula,
Cape Woolamai,Bass Coast,
Cowes,Bass Coast,
Apollo Bay,Colac Otway,
Point Lonsdale - Queenscliff,Borough of Queenscliffe,
Lakes Entrance,East Gippsland,
Broadford,Mitchell,
Traralgon,Latrobe,
Anglesea,Surf Coast,
Melton,Melton,
Stawell,Northern Grampians,
Gisborne,Macedon Ranges,
Riddells Creek,Macedon Ranges,
Sunbury,Hume,
Nagambie,Strathbogie,
Ballarat,Ballarat,
Creswick,Hepburn,
Marengo,Colac Otway,
Heathcote,Greater Bendigo,
Horsham,Rural Horsham,
Ocean Grove - Barwon Heads,Greater Geelong,
Bright,Alpine,
Wangaratta,Rural Wangaratta,
Drysdale - Clifton Springs,Greater Geelong,
Winchelsea,Surf Coast,
Birregurra,Colac Otway,
Blind Bight,Casey,
Grantville,Bass Coast,
Dalyston,Bass Coast,
Kilcunda,Bass Coast,
Flinders,Mornington Peninsula,
Balnarring - Balnarring Beach,Mornington Peninsula,
Port Fairy,Moyne,
Leopold,Greater Geelong,
Wodonga,Wodonga,
Camperdown,Corangamite,
Castlemaine,Mount Alexander,
Halls Gap,Northern Grampians,
Ararat,Rural Ararat,
Kyneton,Macedon Ranges,
Lancefield,Macedon Ranges,
Romsey,Macedon Ranges,
Daylesford - Hepburn Springs,Hepburn,
Yarra Glen,Yarra Ranges,
Woodend,Macedon Ranges,
Lorne,Surf Coast,
Colac,Colac Otway,
Beaconsfield Upper,Cardinia,
Port Albert,Wellington,
